post_id,topic_code
1530pul,comparison
1529hlr,anticipation
14zlnoq,comparison
14zerbt,comparison
14ybsqt,comparison
14wnimd,cultural_impact
14w204h,comparison
14vw35q,comparison
14pldrc,comparison
14mhztz,comparison
14l7dk4,technical_aspects
148vtlh,cultural_impact
13rlhqf,anticipation
16dhw0d,box_office
15bdsv9,reactions_and_reviews
16vkpej,comparison
160ip4r,comparison
15pm918,anticipation
15fcc13,cultural_impact
15e9ate,comparison
15a8y1t,comparison
15674xz,comparison
153zj13,comparison
16pqnuz,box_office
16ddkcr,box_office
168hx94,box_office
167fhih,box_office
165l07u,box_office
164xjig,box_office
164x8xq,box_office
163oe6j,box_office
162zcbz,box_office
162omyo,box_office
162kvdl,box_office
15zqr6o,box_office
15zlbfr,box_office
15ycwg8,box_office
15y13r7,box_office
15x6a9c,box_office
15r4tno,comparison
15nlnff,comparison
15lpvcd,box_office
15kuelz,box_office
15jwzha,box_office
15jwtz0,box_office
15iqln3,box_office
15io2qa,box_office
15h1dwo,box_office
15gnhzh,comparison
15frrkv,box_office
15fqyth,box_office
15foahk,box_office
15fgcrm,box_office
15fd6dq,box_office
15f7s6v,cultural_impact
15eucst,box_office
15eh99q,box_office
15ebyqw,cultural_impact
15e9mk8,box_office
15dwqfi,box_office
15dsh9e,box_office
15acs8u,reactions_and_reviews
15214z3,technical_aspects
150tr3n,comparison
14urvs4,comparison
16v2p9r,comparison
16qk6uo,box_office
16kbi4r,box_office
16imcat,box_office
16gvnbt,box_office
16ej3jf,box_office
16e9pdd,box_office
16bo9mz,box_office
16asbrz,box_office
169wamt,box_office
169sxwb,box_office
163kpt5,comparison
162uzyy,box_office
15x0xbl,box_office
15pzvga,box_office
15a496w,box_office
16efxoi,comparison
15xfosw,box_office
15ehxg2,box_office
16f4qoj,box_office
161tifa,box_office
1617e1d,box_office
160686y,box_office
15y66pl,box_office
15wgspt,box_office
15wc9rm,box_office
15vy2f1,box_office
15tsp8p,box_office
15ts87i,box_office
15t9th4,box_office
15sux7j,box_office
15s2ily,box_office
15rxm39,box_office
15qzsum,box_office
15qpza0,box_office
15q2vxj,box_office
15puof0,box_office
15olbqb,box_office
15odjcg,box_office
15o93ry,box_office
15o3t1d,box_office
15nhai1,box_office
15na9ek,box_office
15lmnl3,box_office
15lmmw6,box_office
15kokhl,box_office
15izkkd,box_office
15ixbj2,box_office
15i48t2,box_office
15i48sz,box_office
15hyjry,box_office
15hpv39,box_office
15hhv7e,box_office
15hfsfq,box_office
15hbnp2,box_office
15h99vg,box_office
15h8dft,box_office
15h8ca4,box_office
15h7rj1,box_office
15h2x6a,box_office
15gdcu7,box_office
15fh9ib,box_office
15fgw0x,box_office
15elofs,box_office
15dwfiw,box_office
15dpiy9,box_office
15dnl59,box_office
15dnk70,box_office
15dgr2s,box_office
15dgp1m,box_office
15de3pv,comparison
1673wvw,technical_aspects
164ougo,reactions_and_reviews
15run1o,reactions_and_reviews
15qgh9s,reactions_and_reviews
152p3q6,reactions_and_reviews
14w6h31,reactions_and_reviews
14i49ju,reactions_and_reviews
149el20,cultural_impact
1499cyk,reactions_and_reviews
143guh9,reactions_and_reviews
1411ps1,anticipation
13y08ix,reactions_and_reviews
13y03dr,reactions_and_reviews
13wlx9x,reactions_and_reviews
13qumqu,reactions_and_reviews
13hk8ou,anticipation
13ez939,anticipation
131naor,anticipation
12y54oi,anticipation
16kcfmx,technical_aspects
16gp1l0,cultural_impact
169qfpu,reactions_and_reviews
15wubyr,reactions_and_reviews
15nc5t3,cultural_impact
15lml6k,reactions_and_reviews
15ldjn9,reactions_and_reviews
16kb6u9,box_office
16c18ma,box_office
168isg8,box_office
1688coa,box_office
168603l,box_office
166yupi,box_office
1655dw7,box_office
1652usb,box_office
14rfoq3,technical_aspects
16b3j7h,reactions_and_reviews
143zdzd,cultural_impact
13e8me6,reactions_and_reviews
12whjth,reactions_and_reviews
