post_id,topic_code
15o22fz,comparison
15ruap0,box_office
158r94a,reactions_and_reviews
15lxuat,reactions_and_reviews
13l4io2,anticipation
155dmr5,comparison
15oz9pf,box_office
15a8xf7,box_office
15hzpk5,box_office
168hrtl,reactions_and_reviews
167m4x3,box_office
15r6zwi,technical_aspects
16838kx,box_office
15h8iri,box_office
16k9q6m,box_office
15nweoy,box_office
14ul32r,box_office
16s4rix,box_office
15eezvn,box_office
14qe0qp,comparison
137k642,anticipation
154k6pn,box_office
15hcuye,box_office
14tevnd,cultural_impact
15rsyq3,box_office
15e84lo,box_office
16vpgpl,cultural_impact
15ghul7,box_office
15eidbl,box_office
164r7cz,box_office
159gjj3,technical_aspects
165lpjb,box_office
16sxrui,cultural_impact
152j6gb,box_office
16cnn2c,box_office
15umke4,comparison
15svnkc,technical_aspects
15s3yaz,comparison
15k45d2,comparison
16des6b,box_office
15o5w28,box_office
16lf66e,box_office
15w6y0m,box_office
15syfhg,box_office
15jtg9t,box_office
167t8n7,box_office
16tpuys,box_office
154xt5t,box_office
15lefff,technical_aspects
1627we8,box_office
15ndnlu,cultural_impact
15dti95,comparison
16svrq0,box_office
15y0e6g,box_office
140u117,box_office
16ozwr1,box_office
164hwk7,box_office
15p5xlz,box_office
15mk0oz,box_office
13xbjg5,technical_aspects
15gduoj,box_office
1606mep,box_office
15m8jvs,reactions_and_reviews
15kpac1,box_office
16l2bwa,reactions_and_reviews
15p4f0x,box_office
151yfg1,box_office
1615cwa,box_office
167fzc5,box_office
16cjy02,box_office
15koh67,reactions_and_reviews
1578ufb,reactions_and_reviews
165kzpt,cultural_impact
14ysjxk,anticipation
14uq7o8,box_office
14lb1vy,reactions_and_reviews
16cku7b,reactions_and_reviews
138t3eh,anticipation
163vid5,box_office
1698h4f,box_office
15uwsao,box_office
15s2gfq,box_office
16ji62u,box_office
13zebxh,reactions_and_reviews
15upjum,box_office
15y897j,cultural_impact
15p8i2c,box_office
15e73qe,box_office
1691387,box_office
145keoq,technical_aspects
15n0jet,comparison
16ht4pc,box_office
15t9csg,box_office
159b1xg,box_office
16vzo5c,technical_aspects
15z3qnd,box_office
15849ri,cultural_impact
13x0o52,anticipation
15px5je,box_office
14zcuj5,reactions_and_reviews
156ydlc,box_office
15vj5eq,box_office
15nvzcg,box_office
15vb0k1,box_office
159uk79,reactions_and_reviews
159gsdz,box_office
14xyrsj,comparison
14esrwt,cultural_impact
15a63f7,box_office
167tc6r,cultural_impact
15z8vlw,box_office
16gxaba,comparison
14kbbz0,anticipation
16mw1fh,comparison
15burik,reactions_and_reviews
15eknmk,box_office
1690wwg,box_office
15g8osl,cultural_impact
16ae42p,reactions_and_reviews
15x655w,box_office
15o7tlc,box_office
158thxd,reactions_and_reviews
15p45x5,box_office
15ni25m,box_office
1620nf6,technical_aspects
156tm4o,reactions_and_reviews
15s5edp,cultural_impact
15xnp1o,box_office
15lbvbk,box_office
16dfcip,box_office
14xte7t,comparison
165fsef,box_office
166hlwf,comparison
16vgngw,comparison
16w9yur,box_office
15giqy8,box_office
15fxv0t,comparison
16fzrdd,box_office
15i41gt,box_office
16c5ebh,anticipation
144kpz6,anticipation
15tu4ak,box_office
14swomz,comparison
154o3sa,box_office
15gf5o0,box_office
13s7szj,reactions_and_reviews
15b8m61,box_office
15dadd2,comparison
15ujkij,box_office
15ofzb8,box_office
13ysdsf,reactions_and_reviews
158bw5q,box_office
15elhmh,box_office
15a7eh4,reactions_and_reviews
15vohz8,box_office
15w8xd6,technical_aspects
1460q5v,technical_aspects
16vu0be,cultural_impact
15ft6mo,box_office
16fzqva,reactions_and_reviews
1479a9w,box_office
15dhy4n,comparison
15ib03g,reactions_and_reviews
15n6295,box_office
155ni86,box_office
15evoag,box_office
15i9due,box_office
13logsl,box_office
163q9o0,box_office
15h8bys,comparison
14wcudn,anticipation
1664m3h,box_office
166rcmx,box_office
13u90pa,anticipation
