post_id,topic_code
1354k7j,box_office
13779le,reactions_and_reviews
137k642,anticipation
138t3eh,anticipation
13eyo1g,anticipation
13fbf9r,reactions_and_reviews
13l4io2,anticipation
13logsl,box_office
13nvlx8,technical_aspects
13qy5hh,anticipation
13rinl2,technical_aspects
13rlhqf,anticipation
13s7szj,reactions_and_reviews
13u90pa,anticipation
13x0o52,anticipation
13x81hg,box_office
13xbjg5,technical_aspects
13xt2bo,technical_aspects
13y0k6o,box_office
13y2zqx,box_office
13y4arv,box_office
13ysdsf,reactions_and_reviews
13zebxh,reactions_and_reviews
140u117,box_office
140ye99,technical_aspects
142y8zr,anticipation
143gcj6,box_office
144kpz6,anticipation
145ahr4,technical_aspects
145keoq,technical_aspects
1460q5v,technical_aspects
1479a9w,box_office
148vtlh,cultural_impact
149ie9p,box_office
14bv1o0,box_office
14c8to4,anticipation
14eno04,reactions_and_reviews
14esrwt,cultural_impact
14jzspe,box_office
14kbbz0,anticipation
14l7dk4,technical_aspects
14lb1vy,reactions_and_reviews
14m9b32,box_office
14mb57d,box_office
14mfik2,cultural_impact
14mhztz,comparison
14mnls2,technical_aspects
14o0x8v,box_office
14oh3jt,box_office
14pldrc,comparison
14pz03b,anticipation
14qe0qp,comparison
14sip79,anticipation
14swomz,comparison
14tevnd,cultural_impact
14tghmd,box_office
14u51n6,technical_aspects
14ukpjt,anticipation
14ul32r,box_office
14uq7o8,box_office
14urvs4,comparison
14vc1k0,technical_aspects
14vw35q,comparison
14w204h,comparison
14wcudn,anticipation
14wnimd,cultural_impact
14x4ofs,reactions_and_reviews
14x8so7,box_office
14xdey2,box_office
14xte7t,comparison
14xxjgp,technical_aspects
14xyrsj,comparison
14ybsqt,comparison
14yohi2,anticipation
14ysjxk,anticipation
14zcuj5,reactions_and_reviews
14zerbt,comparison
14zlnoq,comparison
14zsg3d,comparison
14zups9,box_office
14zz8dl,anticipation
150tr3n,comparison
151y8re,anticipation
151yfg1,box_office
15214z3,technical_aspects
15236w5,technical_aspects
1529hlr,anticipation
1529kzx,technical_aspects
152ho9l,technical_aspects
152j6gb,box_office
152segi,technical_aspects
1530pul,comparison
1539zwu,anticipation
153dcxm,reactions_and_reviews
153y9kv,anticipation
153z01q,reactions_and_reviews
153z3n8,reactions_and_reviews
153zj13,comparison
15420pb,box_office
1544mb5,box_office
1548p8x,technical_aspects
154f77x,technical_aspects
154g4v7,reactions_and_reviews
154k6pn,box_office
154o3sa,box_office
154p2e0,reactions_and_reviews
154xt5t,box_office
154ygq6,box_office
1553rgf,box_office
155afzv,reactions_and_reviews
155ag1m,reactions_and_reviews
155c1sk,box_office
155cffr,box_office
155dmr5,comparison
155fy9l,reactions_and_reviews
155myaq,box_office
155ni86,box_office
155pctb,box_office
155s6gq,cultural_impact
155s9ik,box_office
155tt66,box_office
155u8tr,box_office
155yb7q,box_office
15674xz,comparison
156bjr1,box_office
156de9s,box_office
156mmg2,reactions_and_reviews
156thgb,box_office
156tm4o,reactions_and_reviews
156x186,reactions_and_reviews
156ydlc,box_office
156zt07,cultural_impact
1571t6i,comparison
1578ufb,reactions_and_reviews
157av2s,box_office
157gitf,box_office
157jmle,box_office
157kjux,box_office
157yt9r,box_office
15802l5,box_office
15849ri,cultural_impact
158al6h,box_office
158beiz,box_office
158bw5q,box_office
158fzcw,box_office
158gx2a,reactions_and_reviews
158mmnk,box_office
158r94a,reactions_and_reviews
158s9ia,box_office
158safe,reactions_and_reviews
158thxd,reactions_and_reviews
158uz8e,technical_aspects
158zrdz,comparison
159b1xg,box_office
159fog5,reactions_and_reviews
159gjj3,technical_aspects
159gsdz,box_office
159uk79,reactions_and_reviews
159vfdf,reactions_and_reviews
15a63f7,box_office
15a6vmk,cultural_impact
15a7eh4,reactions_and_reviews
15a8xf7,box_office
15a8y1t,comparison
15abt3i,comparison
15acs8u,reactions_and_reviews
15as31d,box_office
15aso5q,box_office
15b8m61,box_office
15bdsv9,reactions_and_reviews
15bfgfc,box_office
15btwom,technical_aspects
15bu5tt,box_office
15burik,reactions_and_reviews
15cab0r,box_office
15cao1e,reactions_and_reviews
15cd0qf,reactions_and_reviews
15cvh1d,comparison
15d5u5a,reactions_and_reviews
15d8ap3,technical_aspects
15dadd2,comparison
15dho0y,reactions_and_reviews
15dhy4n,comparison
15dofke,technical_aspects
15dq5k9,comparison
15dsh9e,box_office
15dti95,comparison
15dtyml,reactions_and_reviews
15dwqfi,box_office
15dyzay,box_office
15e325d,reactions_and_reviews
15e73qe,box_office
15e84lo,box_office
15e9ate,comparison
15e9mk8,box_office
15ebyqw,cultural_impact
15eezvn,box_office
15eh99q,box_office
15eidbl,box_office
15eknmk,box_office
15elhmh,box_office
15eq975,reactions_and_reviews
15eucst,box_office
15evoag,box_office
15f2k5g,box_office
15f7s6v,cultural_impact
15fcc13,cultural_impact
15fd6dq,box_office
15fesgo,cultural_impact
15fgcrm,box_office
15foahk,box_office
15fqyth,box_office
15frrkv,box_office
15ft6mo,box_office
15fw1b5,reactions_and_reviews
15fxv0t,comparison
15fyyz1,reactions_and_reviews
15g8osl,cultural_impact
15gaf2a,reactions_and_reviews
15gduoj,box_office
15gf5o0,box_office
15ghd9f,box_office
15ghul7,box_office
15giqy8,box_office
15gnhzh,comparison
15gohnf,box_office
15gpnz1,reactions_and_reviews
15h1dwo,box_office
15h8bys,comparison
15h8iri,box_office
15hclb7,box_office
15hcuye,box_office
15hdjvj,box_office
15hx4il,comparison
15hzpk5,box_office
15i41gt,box_office
15i9due,box_office
15iadg5,reactions_and_reviews
15ib03g,reactions_and_reviews
15io2qa,box_office
15iqln3,box_office
